ID,State,Sex,Age_Group,COVID_Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths,Influenza_Deaths,Pneumonia_Influenza_COVID_Deaths
1,New Jersey,Male,65-74,728,728,339,,1124
1,New Jersey,Male,75-84,978,1033,475,19,1553
1,New Jersey,Female,0-17,,,,,11
1,New Jersey,Female,18-29,,,0,,15
1,New Jersey,Female,30-39,33,29,12,,51
1,New Jersey,Female,40-49,66,64,34,,100
1,New Jersey,Female,50-64,362,355,182,,544
1,New Jersey,Female,65-74,541,527,247,12,830
1,New Jersey,Female,75-84,818,789,357,11,1261
1,New Jersey,Male,0-17,,,,,
1,New Jersey,Male,18-29,,11,,,13
1,New Jersey,Male,30-39,,12,0,0,16
1,New Jersey,Male,40-49,15,40,,0,49
1,New Jersey,Male,50-64,47,171,19,,205
1,New Jersey,Male,65-74,134,316,47,,407
1,New Jersey,Male,75-84,203,460,80,,586
1,New Jersey,Female,0-17,,,0,0,
1,New Jersey,Female,18-29,,,0,,
1,New Jersey,Female,30-39,,23,,0,26
1,New Jersey,Female,40-49,,18,,0,22
1,New Jersey,Female,50-64,51,156,12,,199
1,New Jersey,Female,65-74,90,203,32,12,271
1,New Jersey,Female,75-84,178,369,51,11,506
1,New York,Male,0-17,,,,,13
1,New York,Male,18-29,40,46,15,,72
1,New York,Male,30-39,88,89,41,,138
1,New York,Male,40-49,276,202,130,,353
1,New York,Male,50-64,1436,1236,711,26,1985
1,New York,Male,65-74,1966,1800,973,31,2820
1,New York,Male,75-84,2315,2215,1107,35,3456
1,New York,Female,0-17,,,0,,10
1,New York,Female,18-29,14,21,,,32
1,New York,Female,30-39,39,42,17,,65
1,New York,Female,40-49,109,103,55,,160
1,New York,Female,50-64,679,706,331,20,1072
1,New York,Female,65-74,1168,1120,562,23,1749
1,New York,Female,75-84,1933,1770,873,28,2857
1,New York,Male,0-17,,11,,0,18
1,New York,Male,18-29,40,41,20,0,61
1,New York,Male,30-39,125,88,48,0,165
1,New York,Male,40-49,250,180,110,0,320
1,New York,Male,50-64,1499,1246,733,,2016
1,New York,Male,65-74,1805,1651,900,,2559
1,New York,Male,75-84,2068,2071,1018,,3123
1,New York,Female,0-17,,,,0,
1,New York,Female,18-29,22,19,,0,34
1,New York,Female,30-39,76,51,32,0,95
1,New York,Female,40-49,163,130,80,0,213
1,New York,Female,50-64,920,797,466,0,1251
1,New York,Female,65-74,1276,1130,614,,1793
1,New York,Female,75-84,1806,1628,805,,2633
1,New York,Male,0-17,12,13,,,26
1,New York,Male,18-29,31,32,,0,57
1,New York,Male,30-39,62,52,25,,91
1,New York,Male,40-49,122,111,38,,198
1,New York,Male,50-64,704,780,304,24,1202
1,New York,Male,65-74,946,1173,379,27,1765
1,New York,Male,75-84,1334,1632,541,39,2463
1,New York,Female,0-17,13,13,,,26
1,New York,Female,18-29,19,13,,,27
1,New York,Female,30-39,45,40,11,,76
1,New York,Female,40-49,85,101,39,,150
1,New York,Female,50-64,438,535,183,17,807
1,New York,Female,65-74,761,861,317,40,1343
1,New York,Female,75-84,1074,1276,381,37,2006
1,New York,Male,0-17,,,0,,10
1,New York,Male,18-29,,,0,0,13
1,New York,Male,30-39,,31,,,38
1,New York,Male,40-49,13,52,,,63
1,New York,Male,50-64,105,381,35,13,463
1,New York,Male,65-74,200,617,68,11,760
1,New York,Male,75-84,341,894,105,14,1141
1,New York,Female,0-17,,,,0,
1,New York,Female,18-29,,12,,,13
1,New York,Female,30-39,,30,,,34
1,New York,Female,40-49,21,34,,0,52
1,New York,Female,50-64,72,272,32,,317
1,New York,Female,65-74,137,451,46,12,552
1,New York,Female,75-84,268,767,84,25,975
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,0,0,0,0,0
1,District of Columbia,Male,40-49,0,,0,0,
1,District of Columbia,Male,50-64,0,10,0,0,10
1,District of Columbia,Male,65-74,0,,0,0,
1,District of Columbia,Male,75-84,0,,0,0,
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,0,,0,0,
1,District of Columbia,Female,50-64,0,0,0,0,0
1,District of Columbia,Female,65-74,0,,0,0,
1,District of Columbia,Female,75-84,0,,0,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,,0,0,
1,District of Columbia,Male,30-39,0,0,0,0,0
1,District of Columbia,Male,40-49,0,,0,0,
1,District of Columbia,Male,50-64,0,,0,0,
1,District of Columbia,Male,65-74,0,,0,0,
1,District of Columbia,Male,75-84,0,,0,0,
1,District of Columbia,Female,0-17,0,0,0,,
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,0,0,0,0,0
1,District of Columbia,Female,50-64,0,,0,0,
1,District of Columbia,Female,65-74,0,,0,0,
1,District of Columbia,Female,75-84,0,,0,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,,0,0,
1,District of Columbia,Male,30-39,0,,0,,
1,District of Columbia,Male,40-49,0,,0,,
1,District of Columbia,Male,50-64,,14,,,15
1,District of Columbia,Male,65-74,,10,,0,10
1,District of Columbia,Male,75-84,0,,0,0,
1,District of Columbia,Female,0-17,0,0,0,,
1,District of Columbia,Female,18-29,0,0,0,0,0
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,0,,0,0,
1,District of Columbia,Female,50-64,,,,0,
1,District of Columbia,Female,65-74,,10,,,11
1,District of Columbia,Female,75-84,0,,0,0,
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,,,,0,
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,10,,0,10
1,District of Columbia,Male,50-64,33,40,33,0,40
1,District of Columbia,Male,65-74,50,56,50,,57
1,District of Columbia,Male,75-84,36,41,35,0,42
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,,0,0,0,
1,District of Columbia,Female,30-39,0,0,0,0,0
1,District of Columbia,Female,40-49,,,,0,
1,District of Columbia,Female,50-64,17,23,17,0,23
1,District of Columbia,Female,65-74,26,29,25,0,30
1,District of Columbia,Female,75-84,25,30,25,0,30
1,District of Columbia,Male,0-17,0,,0,0,
1,District of Columbia,Male,18-29,0,0,0,0,0
1,District of Columbia,Male,30-39,,,,0,
1,District of Columbia,Male,40-49,,,,0,
1,District of Columbia,Male,50-64,36,41,35,0,42
1,District of Columbia,Male,65-74,46,50,46,0,50
1,District of Columbia,Male,75-84,38,42,37,0,43
1,District of Columbia,Female,0-17,0,0,0,0,0
1,District of Columbia,Female,18-29,,,,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,,,,0,
